,,,Place,,Conference,,Division,,,,All-Star,,Margin,,Month,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,67-15,36-5,31-10,27-3,40-12,13-1,14-2,20-8,20-4,37-11,30-4,1-Aug,34-7,4-Nov,14-1,5-Sep,1-Dec,15-1,3-Jun
2,Portland Trail Blazers,59-23,30-11,29-12,21-9,38-14,4-Oct,5-Nov,17-11,21-3,38-11,21-12,7-Apr,32-7,13-3,4-Sep,3-Nov,2-Dec,7-Jul,4-Jul
3,Indiana Pacers,56-26,36-5,20-21,36-18,20-8,16-10,20-8,3-Nov,5-Sep,32-16,24-10,5-Aug,28-13,7-Aug,2-Dec,6-Aug,2-Nov,7-Sep,2-Aug
4,Utah Jazz,55-27,31-10,24-17,22-8,33-19,4-Oct,4-Dec,14-10,19-9,29-18,26-9,8-Jul,31-9,6-Aug,4-Oct,5-Sep,5-Aug,14-2,5-Jun
5,Phoenix Suns,53-29,32-9,21-20,23-7,30-22,3-Nov,4-Dec,15-13,15-9,29-19,24-10,9-Jul,27-10,4-Oct,7-Aug,7-Jul,3-Oct,4-Dec,4-Jun
6,San Antonio Spurs,53-29,31-10,22-19,20-10,33-19,4-Oct,6-Oct,16-8,17-11,32-17,21-12,7-Aug,31-11,13-3,7-Aug,6-Jul,4-Sep,5-Oct,4-Jun
7,Miami Heat,52-30,33-8,19-22,34-20,18-10,18-6,16-14,4-Oct,6-Aug,30-17,22-13,2-Sep,26-15,3-Nov,6-Aug,7-Aug,5-Sep,5-Sep,4-Jul
8,Minnesota Timberwolves,50-32,26-15,24-17,18-12,32-20,8-Jun,4-Dec,18-6,14-14,27-20,23-12,4-Nov,23-15,5-Jul,9-Jun,3-Dec,7-Jul,4-Dec,4-Jun
9,New York Knicks,50-32,33-8,17-24,32-22,18-10,14-10,18-12,5-Sep,5-Sep,29-18,21-14,5-Sep,20-13,8-Aug,4-Oct,4-Aug,5-Aug,6-Nov,5-May
10,Charlotte Hornets,49-33,30-11,19-22,36-18,13-15,16-10,20-8,7-Jul,8-Jun,27-20,22-13,5-Jul,24-16,6-Aug,5-Oct,7-Jun,7-Jul,6-Sep,2-Sep
11,Philadelphia 76ers,49-33,29-12,20-21,36-18,13-15,13-11,23-7,7-Jul,8-Jun,27-22,22-11,17-8,18-14,8-Aug,7-Sep,5-Jul,5-Jul,5-Nov,3-Jul
12,Seattle SuperSonics,45-37,24-17,21-20,14-16,31-21,7-Jul,9-Jul,19-9,12-Dec,31-20,14-17,7-Aug,22-17,4-Nov,8-Jul,5-Oct,6-Jul,8-Jun,6-Apr
13,Toronto Raptors,45-37,26-15,19-22,29-25,16-12,13-13,16-12,8-Jun,4-Oct,26-21,19-16,13-4,20-20,6-Sep,6-Aug,7-Jul,6-Jun,7-Oct,5-May
14,Sacramento Kings,44-38,30-11,14-27,19-11,25-27,6-Aug,5-Nov,16-12,15-Sep,30-18,14-20,6-Mar,28-16,2-Oct,8-Jul,6-Oct,8-May,6-Sep,8-Mar
15,Detroit Pistons,42-40,27-14,15-26,30-24,16-Dec,14-12,16-12,9-May,7-Jul,25-23,17-17,6-Jun,21-16,8-Jul,6-Aug,8-Jul,6-Jun,7-Aug,5-Jun
16,Milwaukee Bucks,42-40,23-18,19-22,28-26,14-14,14-Dec,16-12,6-Aug,8-Jun,26-24,16-16,7-Nov,18-17,6-Aug,7-Sep,7-Aug,9-Mar,8-Jun,3-Aug
17,Orlando Magic,41-41,26-15,15-26,27-27,14-14,13-Dec,15-14,4-Oct,10-Apr,24-26,17-15,7-Jun,20-16,8-Jul,6-Aug,12-May,5-Jun,5-Nov,5-Apr
18,Dallas Mavericks,40-42,22-19,18-23,18-Dec,28-24,11-Mar,7-Sep,12-Dec,16-12,20-28,20-14,7-Jun,18-19,11-May,10-Apr,5-Aug,6-Jul,9-Jul,1-Sep
19,Boston Celtics,35-47,26-15,Sep-32,24-30,17-Nov,12-Dec,18-Dec,8-Jun,9-May,21-28,14-19,13-Apr,18-19,7-Jul,9-May,7-Aug,10-Mar,9-Jul,5-May
20,Denver Nuggets,35-47,25-16,31-Oct,13-17,22-30,9-May,8-Aug,14-Oct,16-Dec,21-27,14-20,8-Oct,27-Dec,7-Jun,6-Sep,9-May,8-May,13-Apr,4-Jun
21,Houston Rockets,34-48,22-19,29-Dec,19-Nov,23-29,9-May,10-Jun,16-Aug,15-13,20-30,14-18,7-Jun,16-22,11-Apr,9-Jun,7-Jul,8-May,10-May,3-Jul
22,Cleveland Cavaliers,32-50,22-19,31-Oct,20-34,16-Dec,14-Dec,20-Aug,6-Aug,10-Apr,19-30,13-20,11-Jul,21-Dec,6-Jul,11-May,9-Jun,8-Apr,9-Jun,7-Apr
23,New Jersey Nets,31-51,22-19,Sep-32,21-33,18-Oct,16-Sep,17-Dec,9-May,9-May,19-30,21-Dec,14-Jun,15-15,13-Feb,5-Oct,9-May,7-May,7-Sep,0-10
24,Washington Wizards,29-53,17-24,29-Dec,19-35,18-Oct,17-Jul,18-Dec,7-Jul,11-Mar,15-34,14-19,10-Feb,15-22,10-May,10-May,10-Apr,10-Feb,7-Oct,6-Mar
25,Atlanta Hawks,28-54,21-20,Jul-34,20-34,20-Aug,17-Sep,17-Nov,10-Apr,10-Apr,19-28,26-Sep,7-Apr,Nov-32,9-Jun,9-May,8-May,6-Jun,13-Apr,9-Feb
