,,,Place,,Conference,,Division,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,53-29,37-4,16-25,27-15,26-14,8-Nov,16-7,15-9,5-Nov,35-19,18-10,13-6,22-13,3-Mar,5-Aug,5-Oct,3-Nov,6-Jun,5-Nov,2-Apr
2,Denver Nuggets,50-32,36-5,14-27,22-20,28-12,11-Sep,13-9,15-5,13-7,34-19,16-13,5-Mar,34-12,Apr-00,5-Sep,5-Oct,5-Sep,5-Aug,9-Jul,3-Mar
3,Philadelphia 76ers,50-32,32-9,18-23,28-12,22-20,5-Nov,17-7,14-9,11-Aug,33-20,17-12,11-Aug,23-10,2-Mar,6-Aug,6-Jul,3-Nov,5-Jul,6-Nov,4-Mar
4,Houston Rockets,49-33,34-7,15-26,23-17,26-16,10-Oct,13-7,14-9,7-Dec,29-23,20-10,1-Sep,23-19,1-Mar,4-Aug,6-Aug,9-Jul,6-Jul,13-5,2-Mar
5,Portland Trail Blazers,49-33,35-6,14-27,23-19,26-14,14-5,14-Sep,16-8,6-Oct,35-21,14-12,7-Jun,30-12,1-Mar,5-Sep,6-Nov,5-Nov,8-Mar,8-Jul,May-00
6,Washington Bullets,48-34,32-9,16-25,25-15,23-19,14-6,9-Nov,16-7,12-Jul,30-22,18-12,8-Jul,25-14,4-Jan,8-Jun,5-Aug,2-Dec,5-Sep,8-Aug,2-Apr
7,Golden State Warriors,46-36,29-12,17-24,27-15,19-21,13-6,14-9,13-Nov,8-Aug,30-24,16-12,8-May,21-15,2-Feb,8-Jul,5-Jul,6-Oct,7-Aug,6-Sep,2-Mar
8,Boston Celtics,44-38,28-13,16-25,22-18,22-20,7-Sep,13-11,14-9,11-Aug,26-27,18-11,4-Sep,13-22,Apr-00,8-Jun,7-Jul,11-Jun,4-Aug,6-Sep,2-Apr
9,Chicago Bulls,44-38,31-10,13-28,25-17,19-21,8-Nov,14-9,10-Oct,11-Sep,23-32,21-6,6-Jul,19-17,3-Feb,0-10,5-Sep,10-Sep,6-Jul,3-Dec,1-May
10,Detroit Pistons,44-38,30-11,14-27,23-19,21-19,10-Sep,14-9,8-Dec,11-Sep,32-23,15-Dec,6-Nov,16-19,4-Feb,6-Sep,5-Sep,6-Aug,4-Sep,9-May,4-Feb
11,San Antonio Spurs,44-38,31-10,13-28,22-18,22-20,13-7,11-Sep,11-Nov,9-Nov,29-25,15-13,4-Sep,18-13,4-Feb,5-Sep,7-Jul,7-Jul,5-Aug,6-Oct,4-Jan
12,Cleveland Cavaliers,43-39,29-12,14-27,19-21,24-18,9-Nov,12-Aug,13-10,8-Nov,28-24,15-15,6-May,17-16,May-00,4-Oct,9-May,7-Jun,7-May,8-Sep,4-Mar
13,Kansas City Kings,40-42,28-13,29-Dec,23-19,17-23,13-6,13-Oct,13-Jul,10-Oct,28-28,14-Dec,11-Aug,20-15,3-Feb,7-Sep,10-May,5-Sep,6-May,5-Oct,0-6
14,New York Knicks,40-42,26-15,14-27,19-21,21-21,8-Aug,13-Nov,12-Nov,9-Oct,24-29,16-13,13-May,21-19,2-Mar,9-Jun,4-Aug,10-Apr,8-Jul,8-Jul,1-May
15,Seattle SuperSonics,40-42,27-14,13-28,21-21,19-21,9-Oct,12-Nov,13-11,10-Jun,29-26,16-Nov,9-Oct,21-Nov,2-Mar,7-Sep,10-Jun,5-Aug,8-May,7-Jul,3-Feb
16,Indiana Pacers,36-46,25-16,30-Nov,22-20,14-26,13-6,14-Sep,11-Sep,15-May,25-30,16-Nov,5-Jun,16-19,3-Mar,8-Jun,9-Jul,7-Jun,7-May,11-May,1-Apr
17,New Orleans Jazz,35-47,26-15,Sep-32,18-22,17-25,12-Aug,10-Oct,15-Aug,10-Sep,24-30,17-Nov,1-Apr,17-30,2-Mar,6-Aug,9-Jul,10-Apr,7-Apr,8-Aug,5-Jan
18,Phoenix Suns,34-48,26-15,Aug-33,18-24,16-24,10-Sep,14-Sep,13-Nov,11-May,25-27,21-Sep,10-Jan,25-16,4-Jan,5-May,7-Aug,9-Aug,9-Apr,12-Apr,2-Apr
19,Atlanta Hawks,31-51,19-22,29-Dec,18-22,13-29,11-Sep,11-Sep,16-Jul,13-Jun,22-34,17-Sep,8-Nov,24-Sep,4-Feb,9-May,12-May,7-Jun,5-Jul,10-May,4-Jan
20,Buffalo Braves,30-52,23-18,Jul-34,28-Dec,18-24,10-Jun,18-Jun,13-Oct,11-Aug,19-33,19-Nov,8-Jun,24-Oct,3-Feb,9-Jul,8-May,10-Mar,7-Jun,11-May,4-Feb
21,Milwaukee Bucks,30-52,24-17,Jun-35,15-27,15-25,12-Jul,15-Aug,13-Jul,12-Aug,17-42,13-10,10-May,13-24,5-Jan,13-Mar,8-May,11-Jun,7-Jun,6-Jun,2-Mar
22,New York Nets,22-60,31-Oct,29-Dec,14-26,Aug-34,10-Jun,16-Aug,19-Apr,15-Apr,17-36,24-May,10-Sep,Mar-32,4-Feb,7-Jul,9-Mar,14-Jan,8-Jun,13-Feb,5-Jan
