,,,Place,,Conference,,Division,,,,All-Star,,Margin,,Month,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar
1,Boston Celtics,61-21,35-6,26-15,45-15,16-6,17-7,28-8,1-Sep,5-Jul,40-13,21-8,7-Aug,34-5,2-Jul,2-Oct,5-Dec,4-Nov,2-Sep,6-Dec
2,Los Angeles Lakers,60-22,37-4,23-18,18-4,42-18,2-Aug,2-Oct,23-7,19-11,38-17,22-5,5-Nov,29-6,3-Jul,6-Sep,4-Dec,4-Oct,2-Sep,13-3
3,Philadelphia 76ers,59-23,36-5,23-18,44-16,15-7,19-5,25-11,3-Jul,4-Aug,38-14,21-9,17-3,24-8,1-Aug,6-Oct,4-Sep,3-Nov,3-Oct,6-Nov
4,Seattle SuperSonics,56-26,33-8,23-18,17-5,39-21,3-Jul,2-Oct,21-9,18-12,38-16,18-10,6-Oct,25-7,5-May,2-Nov,4-Nov,5-Nov,4-Sep,6-Sep
5,Phoenix Suns,55-27,37-5,18-22,13-9,42-18,5-May,4-Aug,23-7,19-11,35-19,20-8,4-Oct,27-12,4-Jul,5-Sep,5-Oct,5-Sep,5-Aug,3-Dec
6,Atlanta Hawks,50-32,32-9,18-23,38-22,10-Dec,17-13,21-9,5-May,5-Jul,32-23,18-9,11-Aug,19-11,5-Jun,6-Sep,4-Oct,8-Jul,3-Aug,6-Oct
7,Milwaukee Bucks,49-33,28-12,21-21,12-Oct,39-21,7-Mar,5-Jul,15-9,24-12,29-27,20-6,13-10,23-12,1-Sep,6-Aug,11-May,9-Jul,2-Oct,4-Oct
8,Kansas City Kings,47-35,30-11,17-24,14-8,33-27,4-Jun,4-Aug,18-6,15-21,35-23,12-Dec,11-Oct,22-9,5-May,9-Aug,4-Sep,13-5,4-Jun,8-Jun
9,Houston Rockets,41-41,29-12,29-Dec,30-30,11-Nov,20-Oct,20-10,5-May,6-Jun,25-28,16-13,15-7,17-16,7-Feb,4-Oct,9-May,8-Aug,5-Aug,8-Aug
10,San Antonio Spurs,41-41,27-14,14-27,27-33,14-8,13-17,14-16,3-Jul,5-Jul,29-25,16-Dec,7-Jul,13-13,3-Jun,7-Jul,9-Jun,6-Oct,8-Apr,8-Aug
11,Washington Bullets,39-43,24-17,15-26,27-33,10-Dec,15-Sep,18-18,4-Jun,6-Jun,23-29,16-14,9-Nov,24-Oct,5-Mar,7-Jun,7-Jun,10-Aug,6-Jun,8-Oct
12,New York Knicks,39-43,25-16,14-27,26-34,13-9,16-Aug,18-18,4-Jun,5-Jul,27-28,15-Dec,10-Jun,13-21,5-May,8-Jun,8-Aug,7-Aug,5-May,10-Jul
13,Portland Trail Blazers,38-44,26-15,29-Dec,13-Sep,29-31,7-Mar,6-Jun,16-14,13-17,26-29,15-Dec,9-Nov,16-16,2-Sep,8-Jul,11-Apr,8-Jun,7-Apr,8-Aug
14,Cleveland Cavaliers,37-45,28-13,Sep-32,28-32,13-Sep,18-Dec,16-14,6-Apr,7-May,23-32,14-13,13-Aug,18-15,8-Mar,7-Aug,5-Aug,12-Apr,10-Mar,3-Nov
15,Indiana Pacers,37-45,26-15,30-Nov,28-32,13-Sep,13-17,15-15,5-May,8-Apr,26-28,17-Nov,6-Aug,16-17,6-May,9-Jun,6-Jun,7-Sep,7-May,10-Jun
16,San Diego Clippers,35-47,24-17,30-Nov,13-Sep,26-34,6-Apr,7-May,13-17,13-17,28-29,18-Jul,12-May,14-27,7-Apr,8-Jul,6-Sep,8-Aug,8-Mar,10-Apr
17,New Jersey Nets,34-48,22-19,29-Dec,26-34,14-Aug,17-Jul,19-17,5-May,9-Mar,22-32,16-Dec,12-May,16-17,7-Feb,8-Aug,8-May,9-Jul,7-May,9-Jul
18,Chicago Bulls,30-52,21-20,Sep-32,15-Jul,23-37,8-Feb,7-May,16-Aug,15-21,18-35,17-Dec,9-Jul,20-Jul,8-Mar,10-Apr,7-May,10-Jun,9-May,8-Jul
19,Denver Nuggets,30-52,24-17,Jun-35,13-Sep,21-39,7-Mar,6-Jun,14-Oct,25-Nov,19-37,15-Nov,7-May,28-Dec,8-Feb,9-Jul,9-May,11-May,5-Jun,10-May
20,Golden State Warriors,24-58,15-26,Sep-32,17-May,19-41,8-Feb,9-Mar,19-Nov,22-Aug,16-38,20-Aug,14-Feb,13-22,5-May,9-May,12-Feb,12-Apr,9-Apr,11-Apr
21,Utah Jazz,24-58,17-24,Jul-34,15-Jul,17-43,7-Mar,8-Apr,15-Sep,28-Aug,18-37,21-Jun,6-Jun,Aug-35,7-Feb,12-Jan,8-Sep,10-Jun,10-Mar,11-Mar
22,Detroit Pistons,16-66,13-28,Mar-38,Nov-49,17-May,23-Jul,26-Apr,6-Apr,11-Jan,14-40,26-Feb,9-Apr,Jun-41,5-Apr,11-Mar,13-Mar,11-Apr,10-Jan,16-Jan
