Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns*,82,19780,3351,7018,0.477,796,2026,0.393,2555,4992,0.512,1556,2080,0.748,967,2652,3619,1927,572,453,1125,1563,9054
2,Sacramento Kings*,82,19855,3203,6978,0.459,522,1396,0.374,2681,5582,0.48,1577,2004,0.787,1023,2455,3478,2005,674,316,1073,1685,8505
3,Dallas Mavericks*,82,19730,3058,6691,0.457,463,1273,0.364,2595,5418,0.479,1826,2314,0.789,990,2530,3520,1610,708,461,1102,1827,8405
4,Miami Heat*,82,19980,3097,6368,0.486,475,1260,0.377,2622,5108,0.513,1658,2466,0.672,887,2639,3526,1790,528,474,1127,1814,8327
5,Boston Celtics*,82,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304
6,Washington Wizards*,82,19780,2966,6794,0.437,514,1498,0.343,2452,5296,0.463,1795,2476,0.725,1133,2374,3507,1563,716,347,1172,1807,8241
7,Toronto Raptors,82,19805,2952,6656,0.444,648,1681,0.385,2304,4975,0.463,1626,2101,0.774,844,2444,3288,1670,621,317,1087,1876,8178
8,Denver Nuggets*,82,19755,3038,6615,0.459,320,940,0.34,2718,5675,0.479,1765,2313,0.763,967,2473,3440,1958,750,489,1224,1878,8161
9,Orlando Magic,82,19705,3034,6679,0.454,320,916,0.349,2714,5763,0.471,1772,2335,0.759,1038,2544,3582,1583,633,441,1322,1937,8160
10,Philadelphia 76ers*,82,19855,2946,6736,0.437,505,1453,0.348,2441,5283,0.462,1731,2194,0.789,909,2536,3445,1710,756,321,1274,1878,8128
11,Seattle SuperSonics*,82,19755,2882,6498,0.444,666,1824,0.365,2216,4674,0.474,1683,2131,0.79,1041,2311,3352,1487,553,338,1113,1944,8113
12,Los Angeles Lakers,82,19780,2895,6629,0.437,644,1813,0.355,2251,4816,0.467,1661,2137,0.777,1028,2511,3539,1672,508,344,1176,1794,8095
13,Golden State Warriors,82,19905,3029,7039,0.43,624,1774,0.352,2405,5265,0.457,1412,1955,0.722,1069,2436,3505,1811,642,420,1112,1833,8094
14,New York Knicks,82,19880,2978,6599,0.451,441,1240,0.356,2537,5359,0.473,1580,2060,0.767,965,2393,3358,1665,629,260,1204,1942,7977
15,Milwaukee Bucks,82,19780,2964,6580,0.45,325,925,0.351,2639,5655,0.467,1720,2229,0.772,985,2405,3390,1720,529,289,1132,1797,7973
16,Minnesota Timberwolves,82,19755,3045,6629,0.459,395,1145,0.345,2650,5484,0.483,1449,1820,0.796,947,2580,3527,1918,460,447,1079,1774,7934
17,Cleveland Cavaliers,82,19855,2990,6687,0.447,300,904,0.332,2690,5783,0.465,1634,2174,0.752,1117,2352,3469,1851,654,461,1141,1850,7914
18,San Antonio Spurs*,82,19805,2923,6450,0.453,507,1395,0.363,2416,5055,0.478,1535,2120,0.724,987,2489,3476,1771,613,543,1126,1717,7888
19,Los Angeles Clippers,82,20030,2924,6368,0.459,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849
20,Houston Rockets*,82,19855,2846,6419,0.443,553,1521,0.364,2293,4898,0.468,1551,1986,0.781,874,2601,3475,1733,563,378,1135,1807,7796
21,Chicago Bulls*,82,19830,2849,6592,0.432,511,1433,0.357,2338,5159,0.453,1536,2048,0.75,1001,2591,3592,1743,576,369,1371,2028,7745
22,Charlotte Bobcats,82,19880,2961,6859,0.432,320,881,0.363,2641,5978,0.442,1487,2096,0.709,1083,2335,3418,1794,695,440,1192,1894,7729
23,Memphis Grizzlies*,82,19705,2802,6271,0.447,531,1486,0.357,2271,4785,0.475,1526,2024,0.754,887,2307,3194,1716,699,476,1197,1910,7661
24,Detroit Pistons*,82,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.463,1588,2150,0.739,1054,2507,3561,1787,576,497,1133,1638,7653
25,Indiana Pacers*,82,19905,2668,6169,0.432,542,1575,0.344,2126,4594,0.463,1748,2206,0.792,868,2418,3286,1489,615,357,1173,1890,7626
26,Utah Jazz,82,19780,2828,6301,0.449,250,762,0.328,2578,5539,0.465,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625
27,Portland Trail Blazers,82,19730,2896,6422,0.451,420,1161,0.362,2476,5261,0.471,1409,1944,0.725,970,2404,3374,1722,583,544,1308,1703,7621
28,Atlanta Hawks,82,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.463,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605
29,New Jersey Nets*,82,19905,2753,6419,0.429,435,1203,0.362,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,650,308,1164,1985,7496
30,New Orleans Hornets,82,19930,2718,6556,0.415,415,1316,0.315,2303,5240,0.44,1401,1830,0.766,1019,2281,3300,1724,550,310,1217,1883,7252
,League Average,82,19833,2948,6588,0.447,459,1292,0.356,2489,5296,0.47,1615,2137,0.756,985,2448,3432,1745,616,399,1189,1856,7970
